,Market Crash (-30%),Severe Crash (-50%),Moderate Drawdown (-15%),Bull Shock (+20%),Volatility Spike
2021-03-16,-0.2874488835724351,-0.4874488835724351,-0.13744888357243507,0.2125511164275649,0.03137779106891229
2021-03-17,-0.30307006850840273,-0.5030700685084027,-0.15307006850840277,0.19692993149159724,-0.0076751712710069
2021-03-18,-0.3285556518800755,-0.5285556518800756,-0.17855565188007555,0.17144434811992446,-0.07138912970018887
2021-03-19,-0.3005846141971695,-0.5005846141971695,-0.15058461419716945,0.19941538580283055,-0.0014615354929236502
2021-03-22,-0.2841671267539427,-0.4841671267539427,-0.13416712675394266,0.21583287324605735,0.03958218311514334
2021-03-23,-0.29700392021905425,-0.49700392021905426,-0.14700392021905426,0.20299607978094575,0.007490199452364313
2021-03-24,-0.3102062134543593,-0.5102062134543593,-0.16020621345435931,0.18979378654564072,-0.025515533635898265
2021-03-25,-0.30362184028016914,-0.5036218402801692,-0.15362184028016918,0.19637815971983083,-0.009054600700422943
2021-03-26,-0.2938287003008749,-0.4938287003008749,-0.14382870030087488,0.20617129969912512,0.015428249247812756
2021-03-29,-0.29777895920939945,-0.49777895920939946,-0.14777895920939949,0.20222104079060052,0.005552601976501301
2021-03-30,-0.3086295160176703,-0.5086295160176703,-0.15862951601767028,0.19137048398232973,-0.021573790044175714
2021-03-31,-0.2864061244092133,-0.48640612440921327,-0.1364061244092133,0.2135938755907867,0.033984688976966757
2021-04-01,-0.2852430890801694,-0.48524308908016933,-0.13524308908016935,0.21475691091983065,0.0368922772995766
2021-04-05,-0.26583652496331756,-0.46583652496331757,-0.11583652496331756,0.23416347503668244,0.08540868759170608
2021-04-06,-0.30048265999140095,-0.500482659991401,-0.15048265999140095,0.19951734000859905,-0.0012066499785023943
2021-04-07,-0.2992576593622184,-0.49925765936221844,-0.1492576593622184,0.2007423406377816,0.0018558515944539639
2021-04-08,-0.28530848621850374,-0.48530848621850375,-0.13530848621850375,0.21469151378149626,0.036728784453740615
2021-04-09,-0.29259361498820624,-0.4925936149882063,-0.14259361498820627,0.20740638501179373,0.0185159625294843
2021-04-12,-0.2974330270711494,-0.49743302707114945,-0.14743302707114941,0.2025669729288506,0.006417432322126451
2021-04-13,-0.2685300606359204,-0.4685300606359204,-0.11853006063592039,0.2314699393640796,0.078674848410199
2021-04-14,-0.31850648015660554,-0.5185064801566056,-0.16850648015660558,0.18149351984339443,-0.046266200391513954
2021-04-15,-0.28460155412904625,-0.48460155412904626,-0.13460155412904626,0.21539844587095375,0.03849611467738434
2021-04-16,-0.2990029878551131,-0.4990029878551131,-0.1490029878551131,0.2009970121448869,0.002492530362217249
2021-04-19,-0.30864481536442123,-0.5086448153644212,-0.15864481536442124,0.19135518463557877,-0.02161203841105311
2021-04-20,-0.3030983186484675,-0.5030983186484675,-0.1530983186484675,0.1969016813515325,-0.007745796621168796
2021-04-21,-0.2883208596018702,-0.4883208596018702,-0.1383208596018702,0.2116791403981298,0.02919785099532446
2021-04-22,-0.31716616653465834,-0.5171661665346583,-0.16716616653465832,0.18283383346534168,-0.04291541633664582
2021-04-23,-0.283025439791874,-0.483025439791874,-0.133025439791874,0.216974560208126,0.04243640052031497
2021-04-26,-0.294621194993588,-0.49462119499358803,-0.14462119499358803,0.20537880500641198,0.013447012516029921
2021-04-27,-0.3136506822997327,-0.5136506822997328,-0.16365068229973273,0.18634931770026728,-0.03412670574933184
2021-04-28,-0.3043586895006699,-0.50435868950067,-0.15435868950066992,0.1956413104993301,-0.010896723751674803
2021-04-29,-0.3032146240751259,-0.5032146240751258,-0.1532146240751259,0.1967853759248741,-0.008036560187814762
2021-04-30,-0.29416486176333434,-0.4941648617633344,-0.14416486176333437,0.20583513823666563,0.014587845591664053
2021-05-03,-0.30846171317072113,-0.5084617131707212,-0.15846171317072114,0.19153828682927887,-0.021154282926802853
2021-05-04,-0.32128215586827147,-0.5212821558682715,-0.1712821558682715,0.1787178441317285,-0.05320538967067877
2021-05-05,-0.3015656821429856,-0.5015656821429857,-0.15156568214298563,0.19843431785701438,-0.00391420535746409
2021-05-06,-0.29363956211211,-0.49363956211211,-0.14363956211211001,0.20636043788789,0.01590109471972495
2021-05-07,-0.29078793329141106,-0.49078793329141107,-0.14078793329141107,0.20921206670858894,0.02303016677147232
2021-05-10,-0.33373439646706815,-0.5337343964670682,-0.18373439646706816,0.16626560353293185,-0.0843359911676704
2021-05-11,-0.3110314853031495,-0.5110314853031495,-0.16103148530314948,0.18896851469685053,-0.027578713257873713
2021-05-12,-0.3321825090175039,-0.5321825090175039,-0.18218250901750388,0.16781749098249613,-0.08045627254375971
2021-05-13,-0.29646216204079084,-0.49646216204079086,-0.14646216204079085,0.20353783795920916,0.008844594898022862
2021-05-14,-0.27588952108838477,-0.4758895210883848,-0.12588952108838478,0.22411047891161523,0.060276197279038046
2021-05-17,-0.3102128091537227,-0.5102128091537227,-0.16021280915372269,0.18978719084627732,-0.025532022884306727
2021-05-18,-0.3064383062684673,-0.5064383062684673,-0.1564383062684673,0.1935616937315327,-0.01609576567116827
2021-05-19,-0.305362889192042,-0.5053628891920421,-0.15536288919204205,0.19463711080795795,-0.013407222980105146
2021-05-20,-0.2758145746021712,-0.4758145746021712,-0.1258145746021712,0.22418542539782882,0.06046356349457202
2021-05-21,-0.30870035734855067,-0.5087003573485507,-0.15870035734855067,0.19129964265144933,-0.0217508933713767
2021-05-24,-0.27338665336934337,-0.4733866533693434,-0.12338665336934337,0.22661334663065663,0.06653336657664155
2021-05-25,-0.2999283909916233,-0.49992839099162323,-0.14992839099162325,0.20007160900837676,0.00017902252094186
2021-05-26,-0.2918186254227086,-0.4918186254227086,-0.1418186254227086,0.2081813745772914,0.0204534364432285
2021-05-27,-0.3037155836496105,-0.5037155836496106,-0.1537155836496105,0.1962844163503895,-0.009288959124026247
2021-05-28,-0.30225535958868555,-0.5022553595886856,-0.15225535958868558,0.19774464041131443,-0.005638398971713962
2021-06-01,-0.3015809293295886,-0.5015809293295885,-0.15158092932958855,0.19841907067041145,-0.003952323323971399
